station,measureDate,StaGrpCode,StaType,Transect,Latitude,Longitude,time,analyst,tidestage,scttemp,sctsal,sctcond,airtemp,refrsal,dotemp,do,secchi,depth,winddir,windsp,commentOBS,chla,chla_sd,chla_N,chla_qual,phaeopigments,phaeopigments_sd,phaeopigments_N,phaeopigments_qual,nh3,nh3_sd,nh3_N,nh3qual,po4,po4_sd,po4_N,po4qual,nox,nox_sd,nox_N,noxqual,no2,no2_sd,no2_N,no2qual,din,commentNutr,noxTDN,noxTDN_sd,noxTDN_N,noxTDNqual,no2TDN,no2TDN_sd,no2TDN_N,no2TDNqual,commentTDN,processorTDN,organic_content,organic_content_sd,organic_content_N,oc_qual,porosity,porosity_sd,porosity_N,porosity_qual,comments_organic_content,chlor_a,chlor_a_sd,chlor_a_N,chlor_aqual,phaeopigments_a,phaeopigments_a_sd,phaeopigments_a_N,phaeopigments_aqual,commentWaterChl,Gracilaria_mass,Gracilaria_sd,Gracilaria_N,Gracilaria_qual,Ulva_mass,Ulva_sd,Ulva_N,Ulva_qual,commentMacroalgae,tss,tss_sd,tss_N,tssqual,pom,pom_sd,pom_N,pomqual,pim,pim_sd,pim_N,pimqual,commentTSS,sedMass,sedMass_sd,sedMass_N,sedMassqual,sedperc_N,sedperc_N_sd,sedperc_N_N,sedperc_Nqual,sedperc_C,sedperc_C_sd,sedperc_C_N,sedperc_Cqual,commentSedCN
CM,9/1/2004,2,Mainland Creek,Oyster,37.287616,-75.92876,,,,,,0,,,,,,,,,,,,,M,,,,M,,,,M,,,,M,,,,M,,,,M,,,,,,M,,,,M,,,,,,M,,,,,,,,,M,,,,M,,,,,,,,,,,,,,M,,,,M,,,,M,,,,,M,,,,M,,,,M,
CM,10/26/2004,2,Mainland Creek,Oyster,37.287616,-75.92876,1110,,,14.1,8.6,15,17,,15,6.8,51,0.5,NE,5,,,,,M,,,,M,3.12,,1,,0.284,,1,,114,,1,,,,,M,117.12,,,,,M,,,,M,,,,,,M,,,,,,,,,M,,,,M,,,,,,,,,,,,,1,M,,,1,M,,,1,M,,,,,M,,,,M,,,,M,
CM,11/15/2004,2,Mainland Creek,Oyster,37.287616,-75.92876,,,,,,,,,,,,,,,,,,,M,,,,M,3.88,,1,,,,,M,,,,M,,,,M,,,,,,M,,,,M,,,,,,M,,,,,,,,,M,,,,M,,,,,,,,,,,,,,M,,,,M,,,,M,,,,,M,,,,M,,,,M,
CM,2/9/2005,2,Mainland Creek,Oyster,37.287616,-75.92876,1205,KMO/ART,MID EBB,8.1,3.9,7,19.1,,8.3,13.3,,0.3,,0,,,,,M,,,,M,,,,M,,,,M,,,,M,,,,M,,,,,,M,,,,M,,,,,,M,,,,,,,,,M,,,,M,,,,,,,,,,,,,,M,,,,M,,,,M,,,,,M,,,,M,,,,M,
CM,3/22/2005,2,Mainland Creek,Oyster,37.287616,-75.92876,1015,KMO/ART,LATE EBB,9.8,0.4,859,21.8,,9.9,13.4,,0.3,S,1.3,,,,,M,,,,M,,,,M,,,,M,,,,M,,,,M,,,,,,M,,,,M,,,,,,M,,,,,,,,,M,,,,M,,,,,,,,,,,,752.5775708,3,M,,97.57219549,3,M,,62.64449963,3,M,,,,,M,,,,M,,,,M,
CM,4/18/2005,2,Mainland Creek,Oyster,37.287616,-75.92876,915,KMO/ART,MID EBB,11.6,0.3,1,16.7,,11.7,12.3,,0.2,W,23.8,,,,,M,,,,M,2.413333333,0.345697363,6,,0.278666667,0.048627838,6,,34.03333333,0.801664934,6,,0.797333333,0.188269665,6,,36.44666667,,104.3333333,2.886751346,3,,0.384,0.018520259,3,,,MEG MILLER,,,,M,,,,,,,,,M,,,,M,,,,,,,,,,,,110.2784355,3,M,,130.4006646,3,M,,96.74881567,3,M,,,,,M,,,,M,,,,M,
CM,5/18/2005,2,Mainland Creek,Oyster,37.287616,-75.92876,,,,,,,,,,,,,,,,,,,M,,,,M,1.63125,0.115063388,4,,0.22875,0.016357975,4,,44.68333333,3.055759589,6,,0.6685,0.288155629,4,,46.31458333,,106.3333333,0.577350269,3,,0.374,0.041012193,2,,,MEG MILLER,,,,M,,,,,,,,,M,,,,M,,,,,,,,,,,,121.8209068,3,M,,111.0960545,3,M,,579.5075496,3,M,,,,,M,,,,M,,,,M,
CM,5/19/2005,2,Mainland Creek,Oyster,37.287616,-75.92876,1200,KMO/ART,LATE EBB,15.9,0.3,1,17.6,,15.9,8.6,,0,S,3.8,,,,,M,,,,M,,,,M,,,,M,,,,M,,,,M,,,,,,M,,,,M,,,,,,M,,,,,,,,,M,,,,M,,,,,,,,,,,,,,M,,,,M,,,,M,,,,,M,,,,M,,,,M,
CM,6/21/2005,2,Mainland Creek,Oyster,37.287616,-75.92876,1457,KMO/ART,LATE EBB,24.6,1.3,2,35.7,,24.9,11.7,,0.2,W,6.8,,,,,M,,,,M,8.106666667,2.608166661,3,,0.714,0.248901587,2,,21.65,0.919238816,2,,0.019,0.007071068,2,,29.75666667,,,,,M,,,,M,,,,,,M,,,,,,,,,M,,,,M,,,,,,,,,,,,49.21720566,3,M,,134.5263295,3,M,,96.74881567,3,M,,,,,M,,,,M,,,,M,
CM,7/20/2005,2,Mainland Creek,Oyster,37.287616,-75.92876,1419,KMO/ART,LATE EBB,29.2,1,2,36.8,,29.1,11.7,,0.3,,0,,,,,M,,,,M,4.523333333,1.344408172,3,,1.147666667,0.283912545,3,,124,0,3,,1.783333333,0.38759945,3,,128.5233333,,112.3333333,0.577350269,3,,,,,M,,MEG MILLER,,,,M,,,,,,,,,M,,,,M,,,,,,,,,,,,29.44486373,3,M,,190.5282131,3,M,,25.9293913,3,M,,,,,M,,,,M,,,,M,
CM,9/1/2005,2,Mainland Creek,Oyster,37.287616,-75.92876,1322,KMO/ART,LATE EBB,26.2,1.3,2,32.4,,26.3,9.2,,0.3,W,7.3,,,,,M,,,,M,,,,M,,,,M,,,,M,,,,M,,,112.3333333,0.577350269,3,,,,,M,,MEG MILLER,,,,M,,,,,,5.7,0,2,,18.67,0,2,,,,,,,,,,,,,41.18656739,3,M,,24.24871131,3,M,,65.20991745,3,M,,,,,M,,,,M,,,,M,
CM,9/29/2005,2,Mainland Creek,Oyster,37.287616,-75.92876,0,ART,,21.3,2.3,4,27.3,,21.3,9.8,,,E,12.3,,,,,M,,,,M,12.63333333,1.392360107,6,,2.253333333,0.480527488,6,,123.3333333,0.516397779,6,,3.006666667,0.451338749,6,,135.9666667,,112.3333333,0.577350269,3,,,,,M,,MEG MILLER,,,,M,,,,,,4.98,0,2,,17.46,1.414213562,2,,,,,,,,,,,,,70.59981114,3,M,,105.6976821,3,M,,28.61817604,3,M,,,,,M,,,,M,,,,M,
CM,11/1/2005,2,Mainland Creek,Oyster,37.287616,-75.92876,1300,KMO/ART,LATE EBB,16,2.4,4,25.8,,16.1,10.8,25,0.2,S,3.7,,,,,M,,,,M,3.326666667,0.16563011,3,,,,,M,90.9,4.808326112,2,,0.595333333,0.368038494,3,,94.22666667,,101.75,6.01040764,2,,2.356666667,0.030550505,3,,,MEG MILLER,,,,M,,,,,,2.13,,1,,5.665,0.657609307,2,,,,,,,,,,,,,61.5006775,3,M,,59.46707773,3,M,,22.5166605,3,M,,,,,M,,,,M,,,,M,
CM,11/15/2005,2,Mainland Creek,Oyster,37.287616,-75.92876,1320,ART,LATE EBB,18.4,3.3,6,23.1,,18.5,10.2,,,S,5.5,,,,,M,,,,M,7.006666667,0.256580072,3,,0.581,0.036592349,3,,172.3333333,0.577350269,3,,9.016666667,1.285081061,3,,179.34,,,,,M,,,,M,,,,,,M,,,,,,2.133333333,1.425002924,3,,7.91,1.71119841,2,,,,,,,,,,,,,133.1515427,3,M,,101.3262059,3,M,,94.39456199,3,M,,,,,M,,,,M,,,,M,
CM,12/12/2005,2,Mainland Creek,Oyster,37.287616,-75.92876,0,ART,LATE EBB,8.9,0.9,2,12.9,,8.9,11.5,,,W,10.5,,,,,M,,,,M,4.52,0.348281495,3,,0.026,,1,,100.6333333,0.635085296,3,,,,,M,105.1533333,,111.0666667,22.42349958,3,,,,,M,,MEG MILLER,,,,M,,,,,,0.71,0,2,,3.2,0,2,,,,,,,,,,,,,49.08496036,3,M,,112.8110515,3,M,,5.196152423,3,M,,,,,M,,,,M,,,,M,
CM,3/29/2006,2,Mainland Creek,Oyster,37.287616,-75.92876,1330,KMO/ART,LATE EBB,16.3,3.6,6,16.8,,16.3,13.8,25,0.2,W,7,,,,,M,,,,M,4.653333333,0.485008591,3,,0.1001,0.097439314,2,,101.3333333,0.577350269,3,,,,,M,105.9866667,,100.6333333,0.635085296,3,,,,,M,,MEG MILLER,,,,M,,,,,,1.42,,1,,3.983333333,0.840555372,3,,,,,,,,,,,,,,,M,,,,M,,,,M,,,,,M,,,,M,,,,M,
