#,"McGlathery, K.J., Christian, R.R. 2000. Water Quality Sampling - integrated"
#,"measurements for the Virginia Coast, 1992-2016. Virginia Coast Reserve"
#,"Long-Term Ecological Research Project Data Publication knb-lter-vcr.247.6"
#,"(http://www.vcrlter.virginia.edu/cgi-bin/showDataset.cgi?docid=knb-lter-vcr.247)"
#,
#,This dataset is distributed by the Virginia Coast Reserve Long-Term Ecological
#,Research Project and use is subject to the VCR/LTER Data Access Policy
#,(http://www.vcrlter.virginia.edu/data/docs/IMPolicy_VCRLTER06.pdf). Data users
#,working on scientific papers are encouraged to contact the data authors
#,regarding availability of updated data and/or possible collaborations.
#,
#,Full metadata descriptions are available at:
#,http://www.vcrlter.virginia.edu/cgi-bin/showDataset.cgi?docid=knb-lter-vcr.2
#,For additional information about the data contact: Karen McGlathery
#,(kjm4k@virginia.edu)
#,
#,Collection and/or distribution of this data was supported by National Science
#,Foundation grants BSR-8702333-06; DEB-9211772; DEB-9411974; DEB-0080381,
#,DEB-0621014 and DEB-1237733. VCR/LTER: http://www.vcrlter.virginia.edu
#,# # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #
"station","measureDate","StaGrpCode","StaType","Transect","Latitude","Longitude","time","analyst","tidestage","scttemp","sctsal","sctcond","airtemp","refrsal","dotemp","do","secchi","depth","winddir","windsp","commentOBS","chla","chla_sd","chla_N","chla_qual","phaeopigments","phaeopigments_sd","phaeopigments_N","phaeopigments_qual","nh3","nh3_sd","nh3_N","nh3qual","po4","po4_sd","po4_N","po4qual","nox","nox_sd","nox_N","noxqual","no2","no2_sd","no2_N","no2qual","din","commentNutr","noxTDN","noxTDN_sd","noxTDN_N","noxTDNqual","no2TDN","no2TDN_sd","no2TDN_N","no2TDNqual","commentTDN","processorTDN","organic_content","organic_content_sd","organic_content_N","oc_qual","porosity","porosity_sd","porosity_N","porosity_qual","comments_organic_content","chlor_a","chlor_a_sd","chlor_a_N","chlor_aqual","phaeopigments_a","phaeopigments_a_sd","phaeopigments_a_N","phaeopigments_aqual","commentWaterChl","Gracilaria_mass","Gracilaria_sd","Gracilaria_N","Gracilaria_qual","Ulva_mass","Ulva_sd","Ulva_N","Ulva_qual","commentMacroalgae","tss","tss_sd","tss_N","tssqual","pom","pom_sd","pom_N","pomqual","pim","pim_sd","pim_N","pimqual","commentTSS","sedMass","sedMass_sd","sedMass_N","sedMassqual","sedperc_N","sedperc_N_sd","sedperc_N_N","sedperc_Nqual","sedperc_C","sedperc_C_sd","sedperc_C_N","sedperc_Cqual","commentSedCN"
"CM",2004-09-01,2,"Mainland Creek","Oyster",37.287616,-75.92876,,"","",,,0,,,,,,,"",,"",,,,"M",,,,"M",,,,"M",,,,"M",,,,"M",,,,"M",,,,,,"M",,,,"M",,,,,,"M",,,,,,,,,"M",,,,"M",,,,,,,,,,,,,,"M",,,,"M",,,,"M",,,,,"M",,,,"M",,,,"M",
"CM",2004-10-26,2,"Mainland Creek","Oyster",37.287616,-75.92876,1110,"","",14.1,8.6,15,17,,15,6.8,51,0.5,"NE",5,"",,,,"M",,,,"M",3.12,,1,"",0.284,,1,"",114,,1,"",,,,"M",117.12,"",,,,"M",,,,"M",,,,,,"M",,,,,,,,,"M",,,,"M",,,,,,,,,,,,,1,"M",,,1,"M",,,1,"M","",,,,"M",,,,"M",,,,"M",
"CM",2004-11-15,2,"Mainland Creek","Oyster",37.287616,-75.92876,,,,,,,,,,,,,,,,,,,"M",,,,"M",3.88,,1,"",,,,"M",,,,"M",,,,"M",,"",,,,"M",,,,"M",,,,,,"M",,,,,,,,,"M",,,,"M",,,,,,,,,,,,,,"M",,,,"M",,,,"M",,,,,"M",,,,"M",,,,"M",
"CM",2005-02-09,2,"Mainland Creek","Oyster",37.287616,-75.92876,1205,"KMO/ART","MID EBB",8.1,3.9,7,19.1,,8.3,13.3,,0.3,"",0,"",,,,"M",,,,"M",,,,"M",,,,"M",,,,"M",,,,"M",,,,,,"M",,,,"M",,,,,,"M",,,,,,,,,"M",,,,"M",,,,,,,,,,,,,,"M",,,,"M",,,,"M",,,,,"M",,,,"M",,,,"M",
"CM",2005-03-22,2,"Mainland Creek","Oyster",37.287616,-75.92876,1015,"KMO/ART","LATE EBB",9.8,0.4,859,21.8,,9.9,13.4,,0.3,"S",1.3,"",,,,"M",,,,"M",,,,"M",,,,"M",,,,"M",,,,"M",,,,,,"M",,,,"M",,,,,,"M",,,,,,,,,"M",,,,"M",,,,,,,,,,,,752.577570752677,3,"M",,97.5721954930468,3,"M",,62.6444996255324,3,"M","",,,,"M",,,,"M",,,,"M",
"CM",2005-04-18,2,"Mainland Creek","Oyster",37.287616,-75.92876,915,"KMO/ART","MID EBB",11.6,0.3,1,16.7,,11.7,12.3,,0.2,"W",23.8,"",,,,"M",,,,"M",2.41333333333333,0.345697362828626,6,"",0.278666666666667,0.0486278383918786,6,"",34.0333333333333,0.801664934163063,6,"",0.797333333333333,0.188269664754221,6,"",36.4466666666666,"",104.333333333333,2.88675134594813,3,"",0.384,0.0185202591774522,3,"","","MEG MILLER",,,,"M",,,,,,,,,"M",,,,"M",,,,,,,,,,,,110.278435486424,3,"M",,130.400664619983,3,"M",,96.7488156688925,3,"M","",,,,"M",,,,"M",,,,"M",
"CM",2005-05-18,2,"Mainland Creek","Oyster",37.287616,-75.92876,,,,,,,,,,,,,,,,,,,"M",,,,"M",1.63125,0.115063388327188,4,"",0.22875,0.0163579746097533,4,"",44.6833333333333,3.05575958914746,6,"",0.6685,0.288155629246882,4,"",46.3145833333333,"",106.333333333333,0.577350269189626,3,"",0.374,0.0410121933088198,2,"","","MEG MILLER",,,,"M",,,,,,,,,"M",,,,"M",,,,,,,,,,,,121.820906799011,3,"M",,111.096054535403,3,"M",,579.507549562557,3,"M","",,,,"M",,,,"M",,,,"M",
"CM",2005-05-19,2,"Mainland Creek","Oyster",37.287616,-75.92876,1200,"KMO/ART","LATE EBB",15.9,0.3,1,17.6,,15.9,8.6,,0,"S",3.8,"",,,,"M",,,,"M",,,,"M",,,,"M",,,,"M",,,,"M",,,,,,"M",,,,"M",,,,,,"M",,,,,,,,,"M",,,,"M",,,,,,,,,,,,,,"M",,,,"M",,,,"M",,,,,"M",,,,"M",,,,"M",
"CM",2005-06-21,2,"Mainland Creek","Oyster",37.287616,-75.92876,1457,"KMO/ART","LATE EBB",24.6,1.3,2,35.7,,24.9,11.7,,0.2,"W",6.8,"",,,,"M",,,,"M",8.10666666666667,2.60816666134151,3,"",0.714,0.248901586977665,2,"",21.65,0.919238815542512,2,"",0.019,0.00707106781186548,2,"",29.7566666666667,"",,,,"M",,,,"M",,,,,,"M",,,,,,,,,"M",,,,"M",,,,,,,,,,,,49.2172056636024,3,"M",,134.526329517063,3,"M",,96.7488156688925,3,"M","",,,,"M",,,,"M",,,,"M",
"CM",2005-07-20,2,"Mainland Creek","Oyster",37.287616,-75.92876,1419,"KMO/ART","LATE EBB",29.2,1,2,36.8,,29.1,11.7,,0.3,"",0,"",,,,"M",,,,"M",4.52333333333333,1.34440817214614,3,"",1.14766666666667,0.283912545220061,3,"",124,0,3,"",1.78333333333333,0.387599449604013,3,"",128.523333333333,"",112.333333333333,0.577350269189626,3,"",,,,"M","","MEG MILLER",,,,"M",,,,,,,,,"M",,,,"M",,,,,,,,,,,,29.4448637286709,3,"M",,190.528213133908,3,"M",,25.9293913027925,3,"M","",,,,"M",,,,"M",,,,"M",
